ottol_name.id,ottol_name.uid,ottol_name.parent_uid,ottol_name.accepted_uid,ottol_name.preottol_taxid,ottol_name.preottol_parent_taxid,ottol_name.preottol_source,ottol_name.preottol_source_taxid,ottol_name.ncbi_taxid,ottol_name.gbif_taxid,ottol_name.namebank_taxid,ottol_name.treebase_taxid,ottol_name.name,ottol_name.unique_name,ottol_name.rank,ottol_name.comments,ottol_name.mtime
1728458,<NULL>,<NULL>,<NULL>,100343796,101328736,U4,3-21291016,<NULL>,<NULL>,<NULL>,<NULL>,Cousinia shavarica,Cousinia shavarica,species,<NULL>,2012-10-22 18:13:12
1728590,<NULL>,<NULL>,<NULL>,100897806,100897811,U4,9-29216,81100,<NULL>,<NULL>,<NULL>,Breviata anathema,Breviata anathema,species,<NULL>,2012-11-16 11:38:33
1728989,<NULL>,<NULL>,<NULL>,101543803,101014510,U4,3-23758,<NULL>,<NULL>,<NULL>,<NULL>,Crinipes,Crinipes,genus,<NULL>,2012-10-22 18:13:12
1733263,<NULL>,<NULL>,<NULL>,100155713,100371554,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Metalasia trivialis,Metalasia trivialis,species,<NULL>,2012-10-22 18:13:12
1735840,<NULL>,<NULL>,<NULL>,100792092,101141705,NCBI,052312,<NULL>,<NULL>,<NULL>,<NULL>,Ctenopsis delicatula,Ctenopsis delicatula,species,<NULL>,2012-10-22 18:13:12
1736128,<NULL>,<NULL>,<NULL>,100435946,101694910,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Castellia tuberculosa,Castellia tuberculosa,species,<NULL>,2012-10-22 18:13:12
1749867,<NULL>,<NULL>,<NULL>,100620600,100620620,U4,3-130724016,<NULL>,<NULL>,<NULL>,<NULL>,Tachia grandifolia,Tachia grandifolia,species,<NULL>,2012-10-22 18:13:12
1752235,<NULL>,<NULL>,<NULL>,100512122,101023794,U4,3-158531016,65532,<NULL>,<NULL>,<NULL>,Timmia megapolitana bavarica,Timmia megapolitana bavarica,subspecies,<NULL>,2013-03-12 12:59:35
1763624,<NULL>,<NULL>,<NULL>,101654512,100143093,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Pseudoaugeneriella brevirama,Pseudoaugeneriella brevirama,species,<NULL>,2012-10-22 18:13:12
1766717,<NULL>,<NULL>,<NULL>,100689161,101183184,U4,487962,<NULL>,<NULL>,<NULL>,<NULL>,Paratrichophaea boudieri,Paratrichophaea boudieri,species,<NULL>,2012-10-22 18:13:12
1771250,<NULL>,<NULL>,<NULL>,102006114,101602399,U4,378932,<NULL>,<NULL>,<NULL>,<NULL>,Biatora globulosa,Biatora globulosa,species,<NULL>,2012-10-22 18:13:12
1771260,<NULL>,<NULL>,<NULL>,101303933,100655854,U4,3-22339,<NULL>,<NULL>,<NULL>,<NULL>,Belliolum,Belliolum,genus,<NULL>,2012-10-22 18:13:12
1771322,<NULL>,<NULL>,<NULL>,101464479,101737079,NCBI,301050,<NULL>,<NULL>,<NULL>,<NULL>,Cneorane violaceipennis,Cneorane violaceipennis,species,<NULL>,2012-10-22 18:13:12
1775881,<NULL>,<NULL>,<NULL>,101150947,101042916,NCBI,172888,<NULL>,<NULL>,<NULL>,<NULL>,Platyphora sphaerica,Platyphora sphaerica,species,<NULL>,2012-10-22 18:13:12
1783108,<NULL>,<NULL>,<NULL>,100414381,100204041,U4,3-110435016,<NULL>,<NULL>,<NULL>,<NULL>,Hyptis pulchella,Hyptis pulchella,species,<NULL>,2012-10-22 18:13:12
1785090,<NULL>,<NULL>,<NULL>,100655690,100791830,U4,8629692,<NULL>,<NULL>,<NULL>,<NULL>,Anopheles konderi,Anopheles konderi,species,<NULL>,2012-10-22 18:13:12
1788049,<NULL>,<NULL>,<NULL>,101696844,100600126,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Echinaria capitata,Echinaria capitata,species,<NULL>,2012-10-22 18:13:12
1790963,<NULL>,<NULL>,<NULL>,100453712,100371554,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Metalasia serrulata,Metalasia serrulata,species,<NULL>,2012-10-22 18:13:12
1795339,<NULL>,<NULL>,<NULL>,101693462,101634856,NCBI,1017107,<NULL>,<NULL>,<NULL>,<NULL>,Neotyphodium x,Neotyphodium x,species,<NULL>,2012-10-22 18:13:12
1798020,<NULL>,<NULL>,<NULL>,100732854,100343228,U4,10000504,<NULL>,<NULL>,<NULL>,<NULL>,Zygomycota,Zygomycota,phylum,<NULL>,2012-10-22 18:13:12
1799030,<NULL>,<NULL>,<NULL>,101112965,102003591,U4,30-1201,65531,<NULL>,<NULL>,<NULL>,Timmia,Timmia (genus; in family Chromadoridae),genus,<NULL>,2013-03-14 13:14:05
1802738,<NULL>,<NULL>,<NULL>,101491362,100253372,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Eunice limosa,Eunice limosa,species,<NULL>,2012-10-22 18:13:12
1803763,<NULL>,<NULL>,<NULL>,100660141,101014510,U4,3-24267,<NULL>,<NULL>,<NULL>,<NULL>,Leptocarydion,Leptocarydion,genus,<NULL>,2012-10-22 18:13:12
1803766,<NULL>,<NULL>,<NULL>,100660142,101014510,U4,3-24279,<NULL>,<NULL>,<NULL>,<NULL>,Leptochlopsis,Leptochlopsis,genus,<NULL>,2012-10-22 18:13:12
1808823,<NULL>,<NULL>,<NULL>,100547502,100524187,U4,3-23874016,<NULL>,<NULL>,<NULL>,<NULL>,Sphagnum novo-zealandicum,Sphagnum novo-zealandicum,species,<NULL>,2012-10-22 18:13:12
1810142,<NULL>,<NULL>,<NULL>,100036416,101056767,U4,356767,<NULL>,<NULL>,<NULL>,<NULL>,Chaetosphaeria tortuosa,Chaetosphaeria tortuosa,species,<NULL>,2012-10-22 18:13:12
1811326,<NULL>,<NULL>,<NULL>,101494866,101870949,NCBI,220838,<NULL>,<NULL>,<NULL>,<NULL>,Asterocladon interjectum,Asterocladon interjectum,species,<NULL>,2012-10-22 18:13:12
1813610,<NULL>,<NULL>,<NULL>,100820716,100820718,U4,3-153042016,<NULL>,<NULL>,<NULL>,<NULL>,Pinus caribaea bahamensis,Pinus caribaea bahamensis,subspecies,<NULL>,2012-10-22 18:13:12
